ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:1903311	regulation of mRNA metabolic process	43/1426	324/18670	0.000272165549646303	0.0265820670028687	0.0236657212382908	C9orf78/CCNB1/DIS3/EXOSC2/EXOSC7/GTPBP1/HNRNPA1/HNRNPD/HSPA1A/LARP1/MBNL2/MYD88/NBAS/NCBP2/NUP98/PABPC4/PAPOLA/POLR2G/PRDX6/PRKCD/PSMA2/PSMB1/PSMD2/PSME4/PTCD2/PUM1/RBM17/RBM4/RBM7/REST/RNASEL/ROCK2/SAFB2/SF3B4/SON/SREK1/SRPK2/SRPK3/SRSF4/SRSF7/TNFSF13/WTAP/YTHDC1	43
BP	GO:0016072	rRNA metabolic process	39/1426	253/18670	2.01497668743465e-05	0.0106495324445378	0.00948116134548025	ABT1/BMS1/CHD7/DDX11/DIS3/ERI3/ERN2/EXOSC2/EXOSC7/GEMIN4/GTF3C2/KRI1/NAT10/NOP10/NOP2/NPM3/PA2G4/POLR1B/RIOK2/RNASEL/RPL10A/RPL27/RPL35A/RPL5/RPP40/RPS2/RRP9/RRS1/SART1/SENP3/SIRT7/TFB1M/TFB2M/TRMT112/UTP14C/UTP3/WDR12/WDR55/ZNHIT6	39
BP	GO:0051054	positive regulation of DNA metabolic process	36/1426	228/18670	2.4483355770132e-05	0.0107569508182638	0.00957679473953481	ARRB2/ATRX/CDK2/DDX11/DNA2/DNMT1/EGFR/ERCC1/ERCC6/FAF1/FGF2/HMGB1/HNRNPA1/HNRNPD/MSH2/NEK2/NEK7/OTUD4/POT1/PRKCD/PRKD2/PTK2B/RFC2/RFC3/RIF1/SLX1A/SLX1B/STOML2/TCP1/TIMELESS/TNFSF13/TNKS/WRAP53/WRN/XRCC1/ZNF304	36
BP	GO:0051052	regulation of DNA metabolic process	54/1426	429/18670	0.000193966569334803	0.0215616974066625	0.0191961415263676	ACVRL1/ARRB2/ATRX/BMPR2/CDK2/DDX11/DNA2/DNMT1/DUSP1/EGFR/ERCC1/ERCC6/FAF1/FBXW7/FGF2/HMGB1/HNRNPA1/HNRNPD/ID3/IL27RA/KMT2A/MEN1/MSH2/NAT10/NEK2/NEK7/OTUB1/OTUD4/PIK3CA/POT1/PRKCD/PRKD2/PTK2B/RECQL5/RFC2/RFC3/RIF1/RPA2/SETD2/SLX1A/SLX1B/SMC3/SMG1/STOML2/TCP1/TEN1/TIMELESS/TNFSF13/TNKS/USP1/WRAP53/WRN/XRCC1/ZNF304	54
BP	GO:0006413	translational initiation	38/1426	193/18670	5.28306951923391e-08	0.000310697318426146	0.000276610397775468	DDX1/DHX29/EIF2B3/EIF2S1/EIF3G/EIF3I/EIF3M/EIF4A1/EIF4B/EIF4G3/EIF5/EIF6/GLE1/KLHL25/LARP1/NCBP2/POLR2D/POLR2G/RBM4/RPL10/RPL10A/RPL17/RPL23A/RPL27/RPL28/RPL29/RPL31/RPL34/RPL35A/RPL36A/RPL5/RPLP1/RPS12/RPS2/RPS26/RPS29/RPS3A/RPS5	38
BP	GO:0006605	protein targeting	62/1426	432/18670	1.04893977277126e-06	0.00308440740183388	0.00274601391040223	ACOT2/AGPS/AKAP12/AP4S1/EHHADH/ERBB2/FBXW7/FIS1/GDAP1/GIPC1/GRPEL1/HAX1/HGS/HSPA1L/KIF13B/LEPROT/MICALL2/PAOX/PDZK1/PEX2/PEX7/PHYH/PIK3R4/PMM2/PRNP/RABGEF1/RNF31/RPL10/RPL10A/RPL17/RPL23A/RPL27/RPL28/RPL29/RPL31/RPL34/RPL35A/RPL36A/RPL5/RPLP1/RPS12/RPS2/RPS26/RPS29/RPS3A/RPS5/SCARB2/SEC62/SEC63/STOM/SYNGR1/SYNJ2BP/TIMM22/TOMM34/TOMM40/TRAM1/VPS13A/VPS13D/ZDHHC11/ZDHHC11B/ZDHHC14/ZDHHC4	62
BP	GO:0042254	ribosome biogenesis	46/1426	297/18670	3.3193081929091e-06	0.00497401885813333	0.00442831416074159	ABT1/BMS1/BRIX1/CHD7/DIS3/EIF6/ERI3/EXOSC2/EXOSC7/GEMIN4/GTPBP10/KRI1/MRPL11/MYBBP1A/NAT10/NLE1/NOP10/NOP2/NPM3/PA2G4/PTEN/RIOK2/RNASEL/RPL10/RPL10A/RPL23A/RPL27/RPL35A/RPL5/RPP40/RPS2/RPS5/RRN3/RRP9/RRS1/SART1/SENP3/TFB1M/TFB2M/TRMT112/TSC1/UTP14C/UTP3/WDR12/WDR55/ZNHIT6	46
BP	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	25/1426	120/18670	3.38311093904665e-06	0.00497401885813333	0.00442831416074159	GSPT2/NBAS/NCBP2/PPP2R2A/RPL10/RPL10A/RPL17/RPL23A/RPL27/RPL28/RPL29/RPL31/RPL34/RPL35A/RPL36A/RPL5/RPLP1/RPS12/RPS2/RPS26/RPS29/RPS3A/RPS5/SMG1/UPF3A	25
BP	GO:0046426	negative regulation of JAK-STAT cascade	10/1426	24/18670	4.75039935664367e-06	0.00558741972328428	0.00497441818946224	BCL3/DAB1/GGNBP2/HGS/INPP5F/LEPROT/PIBF1/PTPN2/SH2B3/SOCS2	10
BP	GO:0006401	RNA catabolic process	52/1426	397/18670	9.28137928937832e-05	0.0155953690288097	0.0138843851384565	CNOT4/DIS3/DNA2/EDC3/ERN2/EXOSC2/EXOSC7/GSPT2/GTPBP1/HNRNPD/HSPA1A/HSPA1B/LARP1/MYD88/NBAS/NCBP2/PABPC4/POLR2D/POLR2G/PPP2R2A/PRKCD/PSMA2/PSMB1/PSMD2/PSME4/PUM1/RNASEL/RNASET2/ROCK2/RPL10/RPL10A/RPL17/RPL23A/RPL27/RPL28/RPL29/RPL31/RPL34/RPL35A/RPL36A/RPL5/RPLP1/RPS12/RPS2/RPS26/RPS29/RPS3A/RPS5/SMG1/TNFRSF1B/TNFSF13/UPF3A	52
