ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0019080	viral gene expression	52/2182	191/18670	3.00859651755552e-09	1.86021522680458e-05	1.46122782442117e-05	CCL3/CCNT2/EIF2D/EIF3B/EIF3D/EIF3G/EP300/FURIN/GTF2B/GTF2F2/NDC1/NUP160/NUP210/NUP43/POLR2A/POLR2B/POLR2C/POLR2D/POLR2G/POLR2H/POLR2J/POM121/RANBP2/RPL10A/RPL12/RPL17/RPL18A/RPL23/RPL27/RPL28/RPL31/RPL35A/RPL36A/RPL5/RPL9/RPLP0/RPLP1/RPS10/RPS12/RPS16/RPS2/RPS26/RPS27/RPS29/RPS8/RPSA/SEH1L/SMARCA4/TARDBP/TPR/USF2/ZFP36	52
BP	GO:0042254	ribosome biogenesis	69/2182	297/18670	1.34526601751006e-08	4.15888989313235e-05	3.26687231831127e-05	AATF/BMS1/DDX10/DDX3X/DDX49/DDX54/DROSHA/EBNA1BP2/EIF4A3/EIF6/EMG1/ERI3/FRG1/GEMIN4/GTF2H5/GTPBP10/GTPBP4/HEATR1/KRR1/LAS1L/LSM6/MRPL11/MRTO4/MTERF4/MYBBP1A/NLE1/NOC2L/NOL10/NOL11/NOL9/NOP10/NPM1/NPM3/NSUN5/PDCD11/PELP1/PWP2/RBFA/RPL10A/RPL12/RPL26L1/RPL27/RPL35A/RPL5/RPLP0/RPP40/RPS10/RPS16/RPS2/RPS27/RPS8/RPSA/RRN3/RRP1/RRP7A/SHQ1/TEX10/TFB2M/TRMT112/TSR1/TSR3/USP36/UTP14C/UTP3/WBP11/WDR12/WDR18/WDR55/ZNF593	69
BP	GO:0006413	translational initiation	50/2182	193/18670	3.51866034116674e-08	6.12281276859843e-05	4.80956410434607e-05	AGO2/DDX3X/EIF1AX/EIF1B/EIF2AK2/EIF2B2/EIF2B3/EIF2B5/EIF2D/EIF2S1/EIF3B/EIF3D/EIF3G/EIF3H/EIF3I/EIF4G1/EIF4G2/EIF5/EIF6/KLHL25/NCBP1/NPM1/POLR2D/POLR2G/RBM4/RPL10A/RPL12/RPL17/RPL18A/RPL23/RPL27/RPL28/RPL31/RPL35A/RPL36A/RPL5/RPL9/RPLP0/RPLP1/RPS10/RPS12/RPS16/RPS2/RPS26/RPS27/RPS29/RPS6KB2/RPS8/RPSA/TPR	50
BP	GO:0019083	viral transcription	47/2182	177/18670	3.96106276474102e-08	6.12281276859843e-05	4.80956410434607e-05	CCL3/CCNT2/EP300/GTF2B/GTF2F2/NDC1/NUP160/NUP210/NUP43/POLR2A/POLR2B/POLR2C/POLR2D/POLR2G/POLR2H/POLR2J/POM121/RANBP2/RPL10A/RPL12/RPL17/RPL18A/RPL23/RPL27/RPL28/RPL31/RPL35A/RPL36A/RPL5/RPL9/RPLP0/RPLP1/RPS10/RPS12/RPS16/RPS2/RPS26/RPS27/RPS29/RPS8/RPSA/SEH1L/SMARCA4/TARDBP/TPR/USF2/ZFP36	47
BP	GO:0016072	rRNA metabolic process	60/2182	253/18670	5.3548055739306e-08	6.62175257272258e-05	5.2014890353928e-05	BMS1/DDX10/DDX49/DDX54/DROSHA/EBNA1BP2/EIF4A3/EMG1/ERI3/FRG1/GEMIN4/GTF2H5/GTF3C2/GTPBP4/HEATR1/KRR1/LAS1L/LSM6/MRTO4/MTERF4/NCL/NOL10/NOL11/NOL9/NOP10/NPM3/NSUN5/PDCD11/PELP1/POLR1B/PWP2/RBFA/RPL10A/RPL27/RPL35A/RPL5/RPP40/RPS16/RPS2/RPS27/RPS8/RRP1/RRP7A/SHQ1/SIRT7/SMARCA4/TAF1B/TCOF1/TEX10/TFB2M/TRMT112/TSR1/TSR3/USP36/UTP14C/UTP3/WBP11/WDR12/WDR18/WDR55	60
BP	GO:0071383	cellular response to steroid hormone stimulus	59/2182	250/18670	8.28025496786526e-08	7.19408063797603e-05	5.65106158033001e-05	ADTRP/AKR1C3/AQP1/ARID1A/ARRB2/ATP1A1/ATP1A2/ATP2B1/BMP4/BMP7/CASP9/CDK7/CLOCK/CNOT1/CTNNB1/DDIT4/DDX54/EGFR/EGLN2/EP300/FKBP4/FLT3/FOXO3/KAT5/KMT2D/LATS1/MED1/NCOA1/NR1D2/NR2C2/NR3C2/NR4A1/PAK1/PARK7/PER1/RARG/RB1/RBM14/RNF4/RORA/RUNX1/RWDD1/RXRB/SFRP1/SKP2/SMARCA4/SMYD3/SOX10/STC1/TADA3/TP63/UBE3A/UBR5/UFSP2/URI1/WBP2/YAP1/ZBTB7A/ZFP36	59
BP	GO:0048545	response to steroid hormone	81/2182	385/18670	8.55387321636224e-08	7.19408063797603e-05	5.65106158033001e-05	ADTRP/AKR1C3/AQP1/ARID1A/ARRB2/ATP1A1/ATP1A2/ATP2B1/BAD/BMP4/BMP7/CA2/CALM3/CASP9/CATSPER2/CDK7/CDO1/CLOCK/CNOT1/CTNNB1/DDIT4/DDX54/DSG2/DUSP1/EGFR/EGLN2/EP300/FKBP4/FLT3/FOS/FOSB/FOSL1/FOXO3/GOT1/IL1RN/KAT5/KMT2D/LATS1/MDK/MED1/NCOA1/NOTCH1/NR1D2/NR2C2/NR3C2/NR4A1/PAK1/PAPPA/PARK7/PER1/PTAFR/PTGER2/RARG/RB1/RBM14/RELA/RNF4/RORA/RUNX1/RWDD1/RXRB/SDC1/SFRP1/SKP2/SMARCA4/SMYD3/SOX10/SPP1/STC1/TADA3/TLR2/TP63/TXNIP/UBE3A/UBR5/UFSP2/URI1/WBP2/YAP1/ZBTB7A/ZFP36	81
BP	GO:0098781	ncRNA transcription	33/2182	107/18670	9.30820719776941e-08	7.19408063797603e-05	5.65106158033001e-05	CCNT2/CDK7/ELL3/GTF2B/GTF2E2/GTF2F2/GTF3C2/ICE1/INTS3/INTS5/NCBP1/NCL/NOL11/NPM3/POLR1B/POLR2A/POLR2B/POLR2C/POLR2D/POLR2G/POLR2H/POLR2J/RPRD1A/SIRT7/SMARCA4/SNAPC4/TAF13/TAF1B/TAF5/TAF9/TBP/TCOF1/ZNF143	33
BP	GO:0030595	leukocyte chemotaxis	54/2182	224/18670	1.38148429325272e-07	9.49079709464621e-05	7.45516787025505e-05	ADAM17/ADAM8/ARHGEF5/BST1/C3AR1/C5/C5AR1/CCL3/CCL3L3/CCL7/CCR2/CCR6/CH25H/CKLF/CSF3R/CXCL1/CXCL12/CXCL13/CXCL14/CXCL5/CXCL6/CXCL8/DUSP1/EDN2/EDN3/EDNRB/GBF1/IL16/IL17RC/IL1B/IL1RN/IL23A/IL6R/KIT/LYST/MDK/MMP28/MPP1/MST1/PDE4D/PDGFB/PIP5K1C/PTK2B/RAC1/SAA1/SCG2/SERPINE1/SLC12A2/STK39/TRPM4/TRPV4/VAV1/VAV3/VEGFA	54
BP	GO:0006364	rRNA processing	52/2182	214/18670	1.78803186287775e-07	0.00010378884537533	8.15277428878458e-05	BMS1/DDX10/DDX49/DDX54/EBNA1BP2/EIF4A3/EMG1/ERI3/FRG1/GEMIN4/GTF2H5/GTPBP4/HEATR1/KRR1/LAS1L/LSM6/MRTO4/MTERF4/NOL10/NOL11/NOL9/NOP10/NPM3/NSUN5/PDCD11/PELP1/PWP2/RBFA/RPL10A/RPL27/RPL35A/RPL5/RPP40/RPS16/RPS2/RPS27/RPS8/RRP1/RRP7A/SHQ1/TEX10/TFB2M/TRMT112/TSR1/TSR3/USP36/UTP14C/UTP3/WBP11/WDR12/WDR18/WDR55	52
BP	GO:0060326	cell chemotaxis	67/2182	304/18670	1.84647792192889e-07	0.00010378884537533	8.15277428878458e-05	ADAM17/ADAM8/ARHGEF5/ARRB2/BST1/C3AR1/C5/C5AR1/CCL3/CCL3L3/CCL7/CCR2/CCR6/CH25H/CKLF/CSF3R/CX3CR1/CXCL1/CXCL12/CXCL13/CXCL14/CXCL5/CXCL6/CXCL8/DUSP1/EDN2/EDN3/EDNRB/ELMO2/EPHA2/FGF2/GBF1/IL16/IL17RC/IL1B/IL1RN/IL23A/IL6R/KIT/LPAR1/LYST/MDK/MET/MMP28/MPP1/MST1/NOTCH1/NR4A1/P2RX4/PDE4D/PDGFB/PIP5K1A/PIP5K1C/PTK2B/RAC1/SAA1/SAA2/SCG2/SEMA5A/SERPINE1/SLC12A2/STK39/TRPM4/TRPV4/VAV1/VAV3/VEGFA	67
BP	GO:0001819	positive regulation of cytokine production	92/2182	464/18670	2.11317118435283e-07	0.00010888114527378	8.55278231982803e-05	ADAM17/ADAM8/ADORA2B/ARHGEF2/ARNT/ATF2/ATP6AP2/BCL3/BIRC2/C3AR1/C5/C5AR1/CCL3/CCR2/CD46/CD58/CD6/CD81/CEBPB/CEBPG/CTNNB1/DDX3X/DDX41/EIF2AK2/EP300/EREG/FADD/FLOT1/FURIN/GPRC5B/HILPDA/HK1/HSPA1A/HSPA1B/HYAL2/IL12RB2/IL15/IL17B/IL17RC/IL1A/IL1B/IL1R1/IL1RAP/IL1RN/IL23A/IL27RA/IL33/IL6R/IL7/IRF3/IRF4/IRF7/LILRB2/LPL/LSM14A/MAP3K7/MAPK11/MDK/MMP12/MYD88/NPLOC4/ORM1/PANX1/PARK7/PDE4D/PLCB1/POLR1C/POLR2H/POSTN/PTAFR/PUM2/RASGRP1/RELA/RGCC/RIPK1/ROCK2/RORA/RUNX1/SAA1/SERPINB7/SERPINE1/SETD2/SPN/SPTBN1/STAT1/STAT3/TLR2/TNFRSF14/TRPV4/TSPAN6/TUSC2/TYROBP	92
BP	GO:0097529	myeloid leukocyte migration	51/2182	210/18670	2.38194037553472e-07	0.000113288748784086	8.89900639086412e-05	ADAM8/ARHGEF5/BST1/C3AR1/C5/C5AR1/CCL3/CCL3L3/CCL7/CCR2/CD47/CD81/CKLF/CSF3R/CX3CR1/CXCL1/CXCL12/CXCL13/CXCL5/CXCL6/CXCL8/DUSP1/EDN2/EDN3/EDNRB/GBF1/IL17RC/IL1B/IL1R1/IL1RN/IL23A/IL6R/KIT/MDK/MMP28/MPP1/MST1/P2RX4/PDE4D/PDGFB/PIP5K1C/PLCB1/PTK2B/RAC1/SAA1/SCG2/SERPINE1/TRPV4/VAV1/VAV3/VEGFA	51
BP	GO:0051169	nuclear transport	73/2182	346/18670	3.27665218332158e-07	0.000144711003210552	0.000113672730630419	AGFG1/AKAP8L/APOD/BANF1/BARD1/BMP4/CAMK1/CDH1/CHTOP/CPSF1/CPSF4/DDX19A/DDX19B/EIF4A3/EIF4ENIF1/EIF6/GEMIN4/GSK3B/GTSE1/HNRNPA2B1/HYAL2/IL1B/IPO13/IPO7/IPO9/JUP/LSG1/MAGOHB/MED1/MMP12/NCBP1/NDC1/NEMF/NF1/NFKBIA/NPM1/NUP160/NUP210/NUP43/NUTF2/PARK7/PCID2/POLR2D/POM121/PPP1CC/PTTG1IP/RANBP2/RANGAP1/RBM26/RBM4/RBM8A/RPL23/RSRC1/SEH1L/SETD2/SIX3/SMG1/SMG6/SNRPD1/SNRPF/SRSF1/SRSF4/STAT3/TARDBP/THOC2/TNPO1/TNPO3/TPR/TXNIP/U2AF1/UBR5/ZC3H11A/ZNF593	73
BP	GO:0030522	intracellular receptor signaling pathway	62/2182	280/18670	4.4083532074862e-07	0.000181712319212581	0.000142737836486606	AKR1C3/ALDH1A2/ARID1A/ARNT/ARRB2/ASXL2/BIRC2/CDK7/CLOCK/CNOT1/CRABP2/CTNNB1/DDX54/EGLN2/EP300/FKBP4/HSPA1A/HSPA1B/IRF3/IRF7/KAT5/KMT2D/LATS1/LSM14A/MAP3K7/MED1/NCOA1/NFKBIA/NPLOC4/NR1D2/NR4A1/PAK1/PARK7/PER1/PUM2/RARG/RB1/RBM14/RELA/RNF34/RNF4/RORA/RUNX1/RWDD1/RXRB/SFRP1/SKP2/SMARCA4/STAT3/TAB2/TADA3/TP63/TRIM24/TSPAN6/UBC/UBE2V1/UBE3A/UBR5/UFSP2/WBP2/YAP1/ZBTB7A	62
BP	GO:0006913	nucleocytoplasmic transport	72/2182	343/18670	4.82490426148432e-07	0.000186452394054735	0.000146461238569004	AGFG1/AKAP8L/APOD/BARD1/BMP4/CAMK1/CDH1/CHTOP/CPSF1/CPSF4/DDX19A/DDX19B/EIF4A3/EIF4ENIF1/EIF6/GEMIN4/GSK3B/GTSE1/HNRNPA2B1/HYAL2/IL1B/IPO13/IPO7/IPO9/JUP/LSG1/MAGOHB/MED1/MMP12/NCBP1/NDC1/NEMF/NF1/NFKBIA/NPM1/NUP160/NUP210/NUP43/NUTF2/PARK7/PCID2/POLR2D/POM121/PPP1CC/PTTG1IP/RANBP2/RANGAP1/RBM26/RBM4/RBM8A/RPL23/RSRC1/SEH1L/SETD2/SIX3/SMG1/SMG6/SNRPD1/SNRPF/SRSF1/SRSF4/STAT3/TARDBP/THOC2/TNPO1/TNPO3/TPR/TXNIP/U2AF1/UBR5/ZC3H11A/ZNF593	72
BP	GO:0034470	ncRNA processing	78/2182	384/18670	6.53998094322468e-07	0.000237862953952695	0.000186845028309837	AGO2/BMS1/CPSF1/CPSF4/DDX10/DDX49/DDX54/DROSHA/EBNA1BP2/EIF4A3/ELAC1/ELP6/EMG1/ERI3/FRG1/GEMIN4/GRSF1/GTF2H5/GTPBP3/GTPBP4/HEATR1/HNRNPA2B1/INTS3/INTS5/KRR1/LAS1L/LSM6/METTL2B/MRPL44/MRTO4/MTERF4/NOL10/NOL11/NOL9/NOP10/NPM3/NSUN5/OSGEP/PDCD11/PELP1/POP1/PUS7/PWP2/RBFA/RNF113A/RPL10A/RPL27/RPL35A/RPL5/RPP40/RPS16/RPS2/RPS27/RPS8/RRP1/RRP7A/SEPHS2/SHQ1/TARBP1/TEX10/TFB2M/THG1L/THUMPD2/TRDMT1/TRIT1/TRMT1/TRMT112/TRMT61A/TSR1/TSR3/USP36/UTP14C/UTP3/WBP11/WDR12/WDR18/WDR4/WDR55	78
BP	GO:0051651	maintenance of location in cell	29/2182	95/18670	6.97886185886248e-07	0.000239723904851926	0.000188306834016325	ALB/ARL2/ASPM/BARD1/BBS4/BCL3/EZR/FTL/GAA/GOLPH3/GRIK5/HK1/JUP/KDELR3/PARK7/POLR2M/RANGAP1/RER1/SPAG4/SPTBN4/SRGN/SUN1/SUN2/SYNE3/TBCCD1/TMSB15A/TMSB15B/VPS13A/VPS13D	29
BP	GO:0042795	snRNA transcription by RNA polymerase II	24/2182	71/18670	8.07568544927662e-07	0.000262799805962512	0.000206433311152146	CCNT2/CDK7/ELL3/GTF2B/GTF2E2/GTF2F2/ICE1/INTS3/INTS5/NCBP1/POLR2A/POLR2B/POLR2C/POLR2D/POLR2G/POLR2H/POLR2J/RPRD1A/SNAPC4/TAF13/TAF5/TAF9/TBP/ZNF143	24
BP	GO:0002685	regulation of leukocyte migration	47/2182	196/18670	1.0261754535802e-06	0.000302975685668596	0.00023799208588488	ADAM17/ADAM8/ADORA1/ADTRP/APOD/BMP5/BST1/C3AR1/C5/C5AR1/CCL3/CCL7/CCR2/CCR6/CD81/CX3CR1/CXCL12/CXCL13/CXCL14/CXCL8/DUSP1/EDN2/EDN3/FADD/HOXA7/IL1R1/IL23A/IL27RA/IL33/IL6R/KITLG/MDK/MMP28/MPP1/MST1/P2RX4/PLCB1/PTAFR/PTK2B/RABGEF1/RAC1/SERPINE1/SPN/STK39/TNFRSF14/TRPV4/VEGFA	47
BP	GO:0043405	regulation of MAP kinase activity	70/2182	337/18670	1.0386761176365e-06	0.000302975685668596	0.00023799208588488	ADAM8/ADORA1/ADORA2B/ARHGEF5/BMP2/BMP4/BMP7/C5/C5AR1/CBLC/CD24/CD81/CSK/DUSP1/DUSP14/DUSP2/DUSP8/EDN3/EGFR/EIF2AK2/EPHA4/ERCC6/ERN1/FGF2/FLT3/FRS2/FZD4/GADD45G/HGS/HMGCR/HYAL2/IGF1/IGF1R/IL1B/KIDINS220/KIT/KITLG/LAMTOR3/LIME1/LPAR1/MAGED1/MAP3K10/MAP3K6/MAP3K7/MAP3K8/MAP4K2/MAP4K3/MAPK10/MAPK11/NF1/PAK1/PAK3/PDGFB/PTK2B/PTPN6/RAPGEF1/RASGRP1/RIPK1/SAA1/SERPINB3/SFRP1/SHC1/STK39/TAB2/TAOK2/TGFA/UBC/UBE2V1/UCHL1/VEGFA	70
BP	GO:0009301	snRNA transcription	24/2182	72/18670	1.07803090485349e-06	0.000302975685668596	0.00023799208588488	CCNT2/CDK7/ELL3/GTF2B/GTF2E2/GTF2F2/ICE1/INTS3/INTS5/NCBP1/POLR2A/POLR2B/POLR2C/POLR2D/POLR2G/POLR2H/POLR2J/RPRD1A/SNAPC4/TAF13/TAF5/TAF9/TBP/ZNF143	24
BP	GO:0006401	RNA catabolic process	79/2182	397/18670	1.29814394840817e-06	0.000348974957956857	0.000274125225535711	AGO2/ANGEL2/BTG2/CNOT1/CNOT6/CNOT7/DNA2/DND1/DROSHA/EDC3/EIF4A3/EIF4G1/ERN1/FASTKD3/FXR2/GSPT2/HNRNPD/HNRNPM/HSPA1A/HSPA1B/KHSRP/LSM6/MAGOHB/MRTO4/MYD88/NCBP1/NPM1/OAS2/PCID2/PKP3/POLR2D/POLR2G/POP1/PPP1R8/PRPF18/PSMA2/PSMB1/PSMB4/PSMD6/PSMD8/PSME2/PSME4/PUM2/RBM8A/RC3H1/RNASET2/RNH1/ROCK2/RPL10A/RPL12/RPL17/RPL18A/RPL23/RPL27/RPL28/RPL31/RPL35A/RPL36A/RPL5/RPL9/RPLP0/RPLP1/RPS10/RPS12/RPS16/RPS2/RPS26/RPS27/RPS29/RPS8/RPSA/SMG1/SMG6/TARDBP/TBRG4/TNPO1/UBC/YBX3/ZFP36	79
