ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0034330	cell junction organization	39/1256	290/18670	2.74776041879448e-05	0.00927773223757665	0.00788598733195815	ACTN2/APC/ARHGEF7/BCAS3/CDH19/CDH3/CLDN5/CSK/DLG1/ECT2/FLOT1/GJA1/GPM6B/IQSEC1/JUP/KRT14/KRT5/LAMC2/LIMS1/MICALL2/MPP5/NFASC/NUMB/PARD6A/PRKCH/PRKCI/PVR/RAC1/RAPGEF1/RDX/RHOC/ROCK2/SFRP1/STRN/TAOK2/TJP1/TRPV4/UGT8/WNT4	39
BP	GO:0034329	cell junction assembly	34/1256	241/18670	3.30200662395127e-05	0.0099755358007791	0.0084791139623347	ACTN2/APC/ARHGEF7/BCAS3/CDH19/CDH3/CLDN5/DLG1/ECT2/FLOT1/GJA1/GPM6B/JUP/KRT14/KRT5/LAMC2/LIMS1/MICALL2/MPP5/NFASC/PARD6A/PRKCH/PRKCI/RAC1/RAPGEF1/RHOC/ROCK2/SFRP1/STRN/TAOK2/TJP1/TRPV4/UGT8/WNT4	34
BP	GO:0070830	bicellular tight junction assembly	13/1256	55/18670	5.51673344070535e-05	0.0129620339379451	0.011017609994934	APC/CLDN5/DLG1/ECT2/GJA1/MICALL2/MPP5/PARD6A/PRKCH/PRKCI/ROCK2/STRN/TJP1	13
BP	GO:0071383	cellular response to steroid hormone stimulus	38/1256	250/18670	1.94909661251838e-06	0.00866409675402439	0.00736440279752486	AKR1C3/AQP1/ARRB2/ATP1A1/ATP1A2/BMP4/BMP7/CDK7/CLOCK/CNOT2/DDIT4/DDX54/EGFR/EP300/FKBP4/FOXO3/GRIP1/KAT5/KMT2D/LATS1/NR1D2/NR2C2/NR3C2/PARK7/RB1/RBM14/RORA/SFRP1/SKP2/SMARCA4/SMYD3/SOX10/STC1/TP63/URI1/WBP2/ZBTB7A/ZFP36	38
BP	GO:0045839	negative regulation of mitotic nuclear division	14/1256	52/18670	5.68813576496136e-06	0.00866409675402439	0.00736440279752486	ANAPC15/APC/ATRX/AURKAIP1/BMP4/BMP7/BUB1/CCNB1/DUSP1/IK/KLHL22/NAA10/PSMG2/TPR	14
BP	GO:0051784	negative regulation of nuclear division	15/1256	60/18670	7.20948879621468e-06	0.00866409675402439	0.00736440279752486	ANAPC15/APC/ATRX/AURKAIP1/BMP4/BMP7/BUB1/CCNB1/DUSP1/IK/KLHL22/NAA10/PSMG2/RAD1/TPR	15
BP	GO:0098781	ncRNA transcription	21/1256	107/18670	7.69163637945316e-06	0.00866409675402439	0.00736440279752486	CDK7/ELL3/GTF2B/GTF2F2/GTF3C2/NCBP2/NCL/NPM3/POLR1B/POLR2B/POLR2C/POLR2D/POLR2G/POLR2J/RPRD1A/SIRT7/SMARCA4/SNAPC4/TAF13/TAF1B/TAF9	21
BP	GO:0045930	negative regulation of mitotic cell cycle	45/1256	338/18670	8.90209255570825e-06	0.00866409675402439	0.00736440279752486	ANAPC15/APC/ATF2/ATRX/AURKAIP1/BMP4/BMP7/BRINP3/BUB1/CCNB1/CDK2/CDK2AP2/CDK6/CDKN1B/CDKN2B/CNOT2/CNOT6/CNOT7/DLG1/DUSP1/EGFR/EP300/FBXO7/FZD3/GTSE1/HECA/IK/JADE1/KLHL22/MCPH1/MUC1/NAA10/NLE1/PSMA2/PSMB1/PSME2/PSME4/PSMG2/RB1/RPA2/SLC9A3R1/TAOK2/TFDP2/TOP2B/TPR	45
CC	GO:0005911	cell-cell junction	50/1307	459/19717	0.000375330071982431	0.021362536597	0.0183714193128243	AHI1/ANXA2/APC/ATP1A1/ATP1A2/CDC42EP1/CDC42EP4/CDH19/CDH3/CLDN11/CLDN5/CLDN8/CSK/CYTH1/CYTH3/DLG1/DSC3/ECT2/EIF4G2/FAT2/FGF13/FLOT1/FZD4/GJA1/ITGB1/JUP/KIT/KLHL24/KRT8/LDB3/LIMS1/MICALL2/MPP5/NFASC/PARD6A/PARK7/PPL/PRKCI/PVR/RASIP1/RDX/SHROOM2/SPECC1L/STRN/STX3/TACSTD2/TJP1/TJP3/TRIM29/USP53	50
CC	GO:0005923	bicellular tight junction	18/1307	123/19717	0.0012383888537275	0.0469899770608822	0.0404105836479498	APC/CLDN11/CLDN5/CLDN8/CYTH1/CYTH3/DLG1/ECT2/MICALL2/MPP5/PARD6A/PRKCI/SHROOM2/STRN/TACSTD2/TJP1/TJP3/USP53	18
