ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0008631	intrinsic apoptotic signaling pathway in response to oxidative stress	11/1833	43/18670	0.00235866684362191	0.0381433040720723	0.0312823992930509	CYP1B1/DIABLO/JAK2/MAP3K5/MELK/NFE2L2/NME5/NONO/PRKCD/SOD1/VNN1	11
BP	GO:0034599	cellular response to oxidative stress	47/1833	302/18670	0.00101122469967029	0.0229962686578872	0.0188598884104802	AIF1/ALDH3B1/BTK/CAT/CFLAR/CTNNB1/CYBB/CYP1B1/DHRS2/DIABLO/EGFR/FOXO3/GSTP1/HSF1/HSPA1A/HSPA1B/JAK2/JUN/MAP3K5/MELK/MMP2/MMP9/MSRB2/NCF1/NCF2/NFE2L2/NME5/NONO/NOX4/PPP5C/PRDX1/PRDX6/PRKCD/PSAP/PYCR1/RHOB/RWDD1/SLC25A24/SMPD3/SNCA/SOD1/STAU1/TLR6/TXNRD1/VNN1/VRK2/ZNF580	47
BP	GO:0042554	superoxide anion generation	15/1833	36/18670	5.40851221875319e-07	0.000183120586311744	0.000150182356750154	AATF/ACP5/AGT/CYBB/EGFR/GSTP1/ITGAM/ITGB2/NCF1/NCF2/NOX4/PRKCD/SOD1/SYK/TYROBP	15
BP	GO:0032928	regulation of superoxide anion generation	11/1833	22/18670	2.00663673438095e-06	0.000399414032936076	0.000327570711701989	AATF/ACP5/AGT/EGFR/GSTP1/ITGAM/ITGB2/PRKCD/SOD1/SYK/TYROBP	11
BP	GO:0032930	positive regulation of superoxide anion generation	9/1833	19/18670	3.07565531352407e-05	0.00246421443095526	0.00202097174453436	AGT/EGFR/GSTP1/ITGAM/ITGB2/PRKCD/SOD1/SYK/TYROBP	9
BP	GO:0090322	regulation of superoxide metabolic process	12/1833	36/18670	0.000102473358869993	0.00479400558744501	0.00393169917100535	AATF/ACP5/AGT/EGFR/GSTP1/ITGAM/ITGB2/NFE2L2/PRKCD/SOD1/SYK/TYROBP	12
BP	GO:0010498	proteasomal protein catabolic process	89/1833	477/18670	1.85264603708427e-09	5.59035941690178e-06	4.58481140335275e-06	ANAPC1/ARAF/ARRB2/AURKA/AURKB/BAG2/BBS7/BUB1B/CBFA2T3/CCNB1/CDC16/CDC20/CDC27/CEBPA/CRBN/CSNK1D/CSNK1E/CTNNB1/CUL2/DAB2/DDA1/DERL1/DET1/DNAJC10/EDEM1/EDEM2/FAF1/FAF2/FBXL12/FBXL6/FBXO38/FOXF2/FOXRED2/GBA/GCLC/GIPC1/GLMN/GSK3A/HERC2/HSPA1A/HSPA1B/HSPBP1/KCTD13/KIF14/N4BP1/NFE2L2/NPLOC4/PCBP2/PKD1/POMT2/PRPF19/PSMA1/PSMA2/PSMA3/PSMA5/PSMA6/PSMA7/PSMB10/PSMB8/PSMD11/PSMD4/PSMD5/PSME2/PTTG1/RAD23B/RNF121/RNF187/RNF40/RNF5/SDF2/SHARPIN/SIAH1/SIAH2/SKP2/SMARCC1/SOCS5/TAF1/TBL1XR1/TOPORS/TREM2/TRIM13/UBC/UBE2C/UBE2E1/UBE2S/UBE4A/UBE4B/UGGT1/USP25	89
BP	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	80/1833	419/18670	4.18007048793001e-09	7.29818358232345e-06	5.98544616126715e-06	ANAPC1/ARAF/ARRB2/AURKA/AURKB/BBS7/BUB1B/CBFA2T3/CCNB1/CDC16/CDC20/CDC27/CEBPA/CRBN/CSNK1D/CSNK1E/CTNNB1/CUL2/DAB2/DDA1/DERL1/DET1/DNAJC10/EDEM1/EDEM2/FAF1/FAF2/FBXL12/FBXL6/FBXO38/FOXF2/FOXRED2/GBA/GCLC/GIPC1/GLMN/GSK3A/HERC2/HSPA1A/HSPA1B/HSPBP1/KCTD13/KIF14/N4BP1/NFE2L2/NPLOC4/PCBP2/PSMA1/PSMA2/PSMA3/PSMA5/PSMA6/PSMA7/PSMB10/PSMB8/PSMD11/PSMD4/PSMD5/PSME2/PTTG1/RAD23B/RNF121/RNF187/RNF5/SHARPIN/SIAH1/SIAH2/SKP2/SMARCC1/SOCS5/TAF1/TBL1XR1/TOPORS/TRIM13/UBC/UBE2C/UBE2E1/UBE2S/UBE4A/UBE4B	80
BP	GO:0042110	T cell activation	86/1833	464/18670	4.83723849698323e-09	7.29818358232345e-06	5.98544616126715e-06	AIF1/AP3D1/APBB1IP/AZI2/BATF/BTN3A1/CCR2/CCR6/CD2/CD27/CD3E/CD3G/CD4/CD44/CD46/CD6/CD74/CLEC4A/CORO1A/CTNNB1/CTPS1/DLG1/DOCK2/DUSP10/ELF4/FCGR2B/FKBP1A/FZD7/GLMN/HES1/HSPD1/ICOS/IDO1/IFNG/IL12RB1/IL18R1/IL23A/IL2RA/IL7/IRF1/IRF4/ITGAL/ITPKB/JAG2/JMJD6/KDELR1/KIF13B/KLRK1/LAX1/LCP1/LILRB1/LRRC32/LY9/MALT1/MAPK8IP1/NCAPH2/PAK3/PDPK1/PIK3CG/PPP3CA/PRKAR1A/PRKCQ/PRKCZ/PSMB10/PTPN6/RAC2/RC3H1/RPL22/RUNX3/SASH3/SEMA4A/SOCS1/SOCS5/SOD1/SOX13/SPINK5/SPN/STK11/SYK/TNFSF14/TNFSF8/VNN1/XCL1/ZBTB7B/ZFP36L2/ZMIZ1	86
BP	GO:0042116	macrophage activation	29/1833	95/18670	1.6050608678766e-08	1.93730846752705e-05	1.58884130542227e-05	AIF1/C1QA/CCL3/CD74/CEBPA/CRTC3/CX3CL1/FCGR2B/GRN/HSPD1/IFNG/ITGAM/ITGB2/JAK2/JMJD6/JUN/MYO18A/NR1H3/PJA2/PLA2G10/SLC7A2/SNCA/STAP1/SYK/TLR2/TLR6/TLR7/TREM2/TYROBP	29
