ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0030111	regulation of Wnt signaling pathway	60/1557	363/18670	2.28488376236026e-07	0.00134008432662429	0.00116697431736547	BMP2/BTRC/CBY1/CDC73/CDH3/CDK14/CHD8/CSNK1E/CSNK2A1/CTNNBIP1/CUL3/CXXC4/DACT1/DIXDC1/DLX5/EGFR/FAM53B/FGFR2/FOXO3/GID8/GNAQ/GRB10/HDAC1/IFT20/JRK/JUP/LATS1/MACF1/NLE1/PPM1A/PPP1CA/PPP2CA/PPP2R1A/PSMA2/PSMA3/PSMA5/PSMB1/PSMB10/PSMB2/PSMB5/PSMD11/PSMD4/PSME3/PTPRU/SCEL/SENP2/SFRP1/SIX3/SMARCA4/SNX3/SOSTDC1/SOX9/TAX1BP3/TLE4/TLR2/TNKS/TSKU/USP34/WLS/WNT10B	60
BP	GO:1903311	regulation of mRNA metabolic process	54/1557	324/18670	6.95849880819891e-07	0.00204057977550433	0.00177698085354637	BTG2/CCNT1/CDC73/DCP1A/ELAVL1/EXOSC5/EXOSC7/FASTKD1/FASTKD3/FMR1/HNRNPA0/HNRNPA1/HNRNPK/HNRNPR/IGF2BP2/KHDRBS3/LARP1/MAPKAPK2/MBNL2/METTL3/MYD88/NPM1/PABPN1/PKP1/PSMA2/PSMA3/PSMA5/PSMB1/PSMB10/PSMB2/PSMB5/PSMD11/PSMD4/PSME3/PUM1/PUM2/RBM19/RBM4B/RBM5/RNASEL/SAFB/SART3/SECISBP2/SMU1/SNRPA/SON/SRSF10/SRSF4/SRSF8/SUPT6H/TNPO1/U2AF2/XPO1/YTHDF2	54
BP	GO:0042119	neutrophil activation	73/1557	498/18670	1.45852321940175e-06	0.00223106230490006	0.00194285714602685	ADAM10/AMPD3/ANXA2/ATAD3B/ATP6V0A1/ATP6V1D/BST1/BST2/C6orf120/CAND1/CD55/CEP290/COMMD9/CSNK2B/CSTB/CTSB/CXCL1/DEGS1/DOCK2/FAF2/FCER1G/FCGR2B/FCGR3B/FTL/GAA/GGH/GM2A/GYG1/HEBP2/HGSNAT/HK3/HMOX2/HSPA6/HUWE1/IL15/ITGAM/JUP/LAMTOR2/LCN2/LILRB3/MAGT1/MMP9/NEU1/NFASC/OLFM4/OSTF1/PAFAH1B2/PIGR/PKP1/PPIE/PRSS2/PSMA2/PSMA5/PSMB1/PSMD11/PTPN6/PTX3/QPCT/QSOX1/RAB14/RAB31/RAB3D/RAB6A/RAP2B/RNASET2/S100A8/S100A9/SELL/SLC2A3/STXBP3/TLR2/TUBB/VAMP8	73
BP	GO:0030177	positive regulation of Wnt signaling pathway	35/1557	179/18670	1.63904042284241e-06	0.00223106230490006	0.00194285714602685	BMP2/CDC73/CDH3/CSNK1E/CSNK2A1/DACT1/DIXDC1/DLX5/EGFR/FAM53B/FGFR2/GID8/JRK/JUP/MACF1/NLE1/PPM1A/PSMA2/PSMA3/PSMA5/PSMB1/PSMB10/PSMB2/PSMB5/PSMD11/PSMD4/PSME3/SCEL/SFRP1/SMARCA4/TLR2/TNKS/USP34/WLS/WNT10B	35
BP	GO:0043312	neutrophil degranulation	71/1557	485/18670	2.12774601568915e-06	0.00223106230490006	0.00194285714602685	ADAM10/AMPD3/ANXA2/ATAD3B/ATP6V0A1/ATP6V1D/BST1/BST2/C6orf120/CAND1/CD55/CEP290/COMMD9/CSNK2B/CSTB/CTSB/CXCL1/DEGS1/DOCK2/FAF2/FCER1G/FCGR3B/FTL/GAA/GGH/GM2A/GYG1/HEBP2/HGSNAT/HK3/HMOX2/HSPA6/HUWE1/ITGAM/JUP/LAMTOR2/LCN2/LILRB3/MAGT1/MMP9/NEU1/NFASC/OLFM4/OSTF1/PAFAH1B2/PIGR/PKP1/PPIE/PRSS2/PSMA2/PSMA5/PSMB1/PSMD11/PTPN6/PTX3/QPCT/QSOX1/RAB14/RAB31/RAB3D/RAB6A/RAP2B/RNASET2/S100A8/S100A9/SELL/SLC2A3/STXBP3/TLR2/TUBB/VAMP8	71
BP	GO:0048511	rhythmic process	49/1557	295/18670	2.48350571328228e-06	0.00223106230490006	0.00194285714602685	ASS1/ATF5/AXL/BTRC/CREM/CSNK1E/CSNK2A1/CUL4A/DBP/EGFR/EGR2/EGR3/FOXO3/GFPT1/GNAQ/GNRH1/HAS2/HDAC1/HNRNPR/HUWE1/ID3/KAT2B/KCND2/KDM5C/MAGED1/MAPK9/METTL3/MYBBP1A/NAMPT/NCOA1/NCOR1/NFKB2/NFYA/NR1H3/OPN3/OXTR/PGR/PPP1CA/PPP1CC/PRMT5/PTX3/RBM4B/SIX3/SLC6A4/SP1/SRD5A1/TGFB2/TGFB3/TOP1	49
BP	GO:0002283	neutrophil activation involved in immune response	71/1557	488/18670	2.66281946023878e-06	0.00223106230490006	0.00194285714602685	ADAM10/AMPD3/ANXA2/ATAD3B/ATP6V0A1/ATP6V1D/BST1/BST2/C6orf120/CAND1/CD55/CEP290/COMMD9/CSNK2B/CSTB/CTSB/CXCL1/DEGS1/DOCK2/FAF2/FCER1G/FCGR3B/FTL/GAA/GGH/GM2A/GYG1/HEBP2/HGSNAT/HK3/HMOX2/HSPA6/HUWE1/ITGAM/JUP/LAMTOR2/LCN2/LILRB3/MAGT1/MMP9/NEU1/NFASC/OLFM4/OSTF1/PAFAH1B2/PIGR/PKP1/PPIE/PRSS2/PSMA2/PSMA5/PSMB1/PSMD11/PTPN6/PTX3/QPCT/QSOX1/RAB14/RAB31/RAB3D/RAB6A/RAP2B/RNASET2/S100A8/S100A9/SELL/SLC2A3/STXBP3/TLR2/TUBB/VAMP8	71
BP	GO:0071347	cellular response to interleukin-1	34/1557	179/18670	4.49386600330228e-06	0.00294773564240261	0.00256695173633732	AKAP12/BTRC/CCL15/CCL18/CCL20/CCL22/CX3CL1/FGB/GBP1/GBP2/HAS2/HYAL2/IKBKG/IRAK1/LCN2/MYD88/OTUB1/PELI1/PELI2/PSMA2/PSMA3/PSMA5/PSMB1/PSMB10/PSMB2/PSMB5/PSMD11/PSMD4/PSME3/SFRP1/SOX9/SQSTM1/TAB2/UBE2V1	34
BP	GO:0062012	regulation of small molecule metabolic process	67/1557	459/18670	4.5233795024081e-06	0.00294773564240261	0.00256695173633732	ABCG1/ADM/ADORA2B/APOC1/ARNT/BMP2/BRCA1/CBFA2T3/CLK2/COMT/COQ3/DNAJC15/ELOVL6/EPM2AIP1/FABP3/FBP1/FDPS/GPER1/GUCA1B/HAS2/HDAC4/HMGCS1/IFNG/IGFBP3/KAT2B/LMF1/LPGAT1/MBTPS1/MVK/NCOR1/NFYA/NQO1/NR1H2/NR1H3/NUP205/NUP43/NUPR1/ODC1/P2RX7/PDK1/PDPR/PFKFB2/PHKG2/POM121/POR/PPIF/PPP1CA/PRKAG2/PRKCE/PSMA2/PSMA3/PSMA5/PSMB1/PSMB10/PSMB2/PSMB5/PSMD11/PSMD4/PSME3/SIRT5/SLC25A12/SLC7A7/SMPD3/SOGA1/SP1/TNF/TSPO	67
BP	GO:0002446	neutrophil mediated immunity	71/1557	499/18670	5.90306781979079e-06	0.0032134399514662	0.00279833277597057	ADAM10/AMPD3/ANXA2/ATAD3B/ATP6V0A1/ATP6V1D/BST1/BST2/C6orf120/CAND1/CD55/CEP290/COMMD9/CSNK2B/CSTB/CTSB/CXCL1/DEGS1/DOCK2/FAF2/FCER1G/FCGR3B/FTL/GAA/GGH/GM2A/GYG1/HEBP2/HGSNAT/HK3/HMOX2/HSPA6/HUWE1/ITGAM/JUP/LAMTOR2/LCN2/LILRB3/MAGT1/MMP9/NEU1/NFASC/OLFM4/OSTF1/PAFAH1B2/PIGR/PKP1/PPIE/PRSS2/PSMA2/PSMA5/PSMB1/PSMD11/PTPN6/PTX3/QPCT/QSOX1/RAB14/RAB31/RAB3D/RAB6A/RAP2B/RNASET2/S100A8/S100A9/SELL/SLC2A3/STXBP3/TLR2/TUBB/VAMP8	71
