ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0006890	retrograde vesicle-mediated transport, Golgi to ER	24/1819	86/18670	1.45602712770374e-06	0.0088089641226076	0.00775066229978715	ARF3/ARFGAP1/ATP9B/BICD2/COG4/COPA/COPB2/COPE/GBF1/KDELR1/KDELR3/KIF22/KIF2A/KIF2C/KIF3B/KIF4A/KIFAP3/PICK1/RAB6A/SEC22B/TAPBP/TMED9/TMEM115/UVRAG	24
BP	GO:0044282	small molecule catabolic process	73/1819	445/18670	6.12842147725427e-06	0.0159329787992817	0.0140188036168712	AASS/ABCD1/ACADM/ACADVL/ACAT2/ACOX1/ADH5/AKT1/ALDH1B1/ALDH4A1/ALDH5A1/ALDH8A1/APOBEC3A/APOBEC3G/ASRGL1/AUH/BCKDHA/BCKDHB/BCKDK/BDH1/CD44/CRAT/CTH/CYP27A1/CYP39A1/CYP4F2/CYP4F3/DBT/DLST/DPYD/ECHDC1/ECI1/EHHADH/ENTPD4/ESD/FOXK2/FUT4/FUT7/GALT/GCAT/GLUD1/GPD2/HK2/HK3/IDO1/IDUA/IL4I1/INPP5K/IVD/LPIN2/MTMR2/NUDT1/NUDT3/OAT/OCRL/PAH/PCCA/PCK2/PHYH/PKM/PPAT/QPRT/SARDH/SDS/SLC25A12/SNX17/SULT1A1/SULT1A3/SYNJ2/TGFB1/TST/TXN2/XYLB	73
BP	GO:0042110	T cell activation	75/1819	464/18670	7.9006506442719e-06	0.0159329787992817	0.0140188036168712	ADAM17/AKT1/ATG5/ATP7A/BATF/BCL11B/BCL3/CCL21/CCL5/CCND3/CCR2/CCR6/CD1C/CD2/CD27/CD3D/CD3G/CD44/CLEC4A/CLEC7A/CSK/DDOST/DLG1/DPP4/EFNB2/EGR3/ELF4/FANCA/FKBP1B/FUT7/FZD7/GPR18/IDO1/IL23A/IL2RA/IL7/IL7R/ITK/KDELR1/KLRK1/LAG3/LEPR/LGALS1/LILRB1/LY9/MAP3K8/MAPK8IP1/MYB/PAK1/PAK3/PPP3CA/PPP3CB/PRKAR1A/PRKCQ/PRKCZ/PRLR/PRNP/PRR7/PTPN6/RSAD2/RUNX1/RUNX3/SATB1/SOCS5/SOS1/SPINK5/STK11/TGFB1/TNFRSF1B/TNFRSF21/TSC1/ZAP70/ZBTB1/ZBTB7B/ZMIZ1	75
BP	GO:0035303	regulation of dephosphorylation	40/1819	209/18670	2.40626646502696e-05	0.0226442015544688	0.0199237454999476	ANKLE2/ARPP19/CALM1/CALM2/CALM3/CSRNP3/FKBP15/FKBP1B/GPLD1/INPP5K/ITGA1/ITGA2/MFHAS1/MTMR2/MTMR3/NSMF/PCIF1/PHACTR2/PPME1/PPP1R10/PPP1R12A/PPP1R8/PPP2R1B/PPP2R3A/PPP2R5D/PPP2R5E/PPP4R4/PPP6R1/PTBP1/PTN/RBM26/RCAN2/SET/SH2D4A/SHOC2/SYTL2/TGFB1/TGFB2/TSC1/YWHAE	40
BP	GO:0030217	T cell differentiation	44/1819	240/18670	2.92729445605436e-05	0.0226442015544688	0.0199237454999476	ADAM17/ATG5/ATP7A/BATF/BCL11B/BCL3/CCR2/CCR6/CD2/CD27/CD3D/CD3G/EGR3/FANCA/FUT7/FZD7/GPR18/IL23A/IL2RA/IL7/IL7R/ITK/KDELR1/LAG3/LEPR/LY9/MYB/PPP3CB/PRKCZ/PRR7/RSAD2/RUNX1/RUNX3/SATB1/SOCS5/SOS1/SPINK5/STK11/TGFB1/TSC1/ZAP70/ZBTB1/ZBTB7B/ZMIZ1	44
BP	GO:1903900	regulation of viral life cycle	31/1819	149/18670	3.71158927628204e-05	0.0226442015544688	0.0199237454999476	ANXA2/APOBEC3A/APOBEC3G/BANF1/BST2/CCL5/CHMP2A/CNOT7/DDX5/FBXL2/IFI16/INPP5K/KPNA2/LAMP3/LARP1/LGALS1/MID2/MPHOSPH8/P4HB/PABPC1/PLSCR1/PPIA/PPIE/RNASEL/RSAD2/SNX3/TNIP1/TRIM13/TRIM28/TRIM38/TRIM5	31
BP	GO:0043900	regulation of multi-organism process	65/1819	405/18670	3.8917322228748e-05	0.0226442015544688	0.0199237454999476	AIM2/ANXA2/APOBEC3A/APOBEC3G/B4GALT1/BANF1/BIRC3/BST2/C1QBP/CALR/CCL5/CHMP2A/CIB1/CLEC7A/CNOT7/CXCR4/DDX5/DHX58/DHX9/DYNLT1/EXOC7/FAM3A/FBXL2/HDAC4/IFI16/IL23A/IL2RA/INPP5K/KLK7/KPNA2/LAMP3/LARP1/LGALS1/LHFPL2/LILRB1/LY96/MID2/MPHOSPH8/NFKBIL1/NPLOC4/OXTR/P4HB/PABPC1/PLSCR1/POLR2F/POLR2J/PPIA/PPIE/PUM1/PUM2/RNASEL/RSAD2/SNX3/SP1/SPINK5/STAT1/STXBP1/TNIP1/TRIM13/TRIM14/TRIM28/TRIM38/TRIM44/TRIM5/UNC13B	65
BP	GO:0010506	regulation of autophagy	55/1819	327/18670	4.1071423052177e-05	0.0226442015544688	0.0199237454999476	AKT1/AMBRA1/ATP13A2/ATP6V0C/ATP6V1D/ATP6V1H/DAPK3/EXOC7/FBXL2/FEZ1/FEZ2/FLCN/FOXK2/FOXO1/GOLGA2/HAX1/HK2/IFI16/IFT20/IKBKG/IL10RA/KDM4A/LAMP3/LARP1/LEPR/MID2/MTMR3/PIK3R2/PIM2/PIP4K2B/PLK2/POLDIP2/PRKAB1/PRKAG1/PSAP/PTK2/QSOX1/RAB3GAP2/RAB5A/RNF5/RRAGB/RRAGC/SEC22B/SIRT1/SNCA/SOGA1/SPTLC1/STK11/TRIM13/TRIM22/TSC1/USP13/USP36/UVRAG/VPS13D	55
BP	GO:0044839	cell cycle G2/M phase transition	47/1819	266/18670	4.20327572019805e-05	0.0226442015544688	0.0199237454999476	AKAP8L/ARPP19/ATF5/BACH1/BRCA1/BTRC/CALM3/CCNB2/CCNH/CDC25A/CDK4/CEP290/CEP57/CIT/CKAP5/CLASP1/CNTRL/CSNK1E/DCTN1/DTL/FBXL15/FBXO5/GTSE1/HAUS4/HSPA2/KHDRBS1/LATS1/MECP2/MELK/NAE1/NES/PAFAH1B1/PLK1/PPME1/PPP1R12A/PSMB8/PSMB9/PSMD11/PSMD4/PSME1/RAD51B/SKP2/TPX2/TUBA1A/TUBA4A/WEE1/YWHAE	47
BP	GO:0010634	positive regulation of epithelial cell migration	34/1819	171/18670	4.28059443522725e-05	0.0226442015544688	0.0199237454999476	ADAM17/AGT/AKT1/ANGPT1/CALR/CCR6/CIB1/CLASP1/CLASP2/DOCK5/FGF1/GATA2/GPLD1/ITGA2/MMP9/NFE2L2/NRP1/P2RX4/PDCD6/PDGFB/PFN1/PLK2/PRKD2/RHOB/RREB1/RTN4/SIRT1/SOX9/SP1/SPARC/SRPX2/TGFB1/TGFB2/ZNF580	34
BP	GO:0006914	autophagy	76/1819	496/18670	4.56312486018909e-05	0.0226442015544688	0.0199237454999476	AKT1/AMBRA1/ATG10/ATG2B/ATG5/ATP13A2/ATP6V0C/ATP6V1D/ATP6V1H/CHMP2A/CSNK2A1/CSNK2B/DAPK3/EXOC7/FBXL2/FEZ1/FEZ2/FLCN/FOXK2/FOXO1/GABARAPL2/GOLGA2/HAP1/HAX1/HGS/HK2/IFI16/IFT20/IKBKG/IL10RA/IRF8/KDM4A/LAMP2/LAMP3/LARP1/LEPR/MFN1/MID2/MTMR3/PIK3R2/PIM2/PIP4K2B/PLEKHM1/PLK2/POLDIP2/PRKAB1/PRKAG1/PSAP/PTK2/QSOX1/RAB3GAP2/RAB5A/RNF5/RRAGB/RRAGC/SEC22B/SIRT1/SNCA/SOGA1/SPTLC1/SRPX/STK11/STUB1/STX12/TBC1D17/TBC1D5/TM9SF1/TOMM40/TRIM13/TRIM22/TRIM5/TSC1/USP13/USP36/UVRAG/VPS13D	76
BP	GO:0061919	process utilizing autophagic mechanism	76/1819	496/18670	4.56312486018909e-05	0.0226442015544688	0.0199237454999476	AKT1/AMBRA1/ATG10/ATG2B/ATG5/ATP13A2/ATP6V0C/ATP6V1D/ATP6V1H/CHMP2A/CSNK2A1/CSNK2B/DAPK3/EXOC7/FBXL2/FEZ1/FEZ2/FLCN/FOXK2/FOXO1/GABARAPL2/GOLGA2/HAP1/HAX1/HGS/HK2/IFI16/IFT20/IKBKG/IL10RA/IRF8/KDM4A/LAMP2/LAMP3/LARP1/LEPR/MFN1/MID2/MTMR3/PIK3R2/PIM2/PIP4K2B/PLEKHM1/PLK2/POLDIP2/PRKAB1/PRKAG1/PSAP/PTK2/QSOX1/RAB3GAP2/RAB5A/RNF5/RRAGB/RRAGC/SEC22B/SIRT1/SNCA/SOGA1/SPTLC1/SRPX/STK11/STUB1/STX12/TBC1D17/TBC1D5/TM9SF1/TOMM40/TRIM13/TRIM22/TRIM5/TSC1/USP13/USP36/UVRAG/VPS13D	76
BP	GO:0050792	regulation of viral process	39/1819	208/18670	4.86569620178669e-05	0.0226442015544688	0.0199237454999476	ANXA2/APOBEC3A/APOBEC3G/BANF1/BST2/CCL5/CHMP2A/CNOT7/CXCR4/DDX5/DHX9/DYNLT1/FBXL2/IFI16/INPP5K/KPNA2/LAMP3/LARP1/LGALS1/MID2/MPHOSPH8/P4HB/PABPC1/PLSCR1/POLR2F/POLR2J/PPIA/PPIE/RNASEL/RSAD2/SNX3/SP1/STAT1/TNIP1/TRIM13/TRIM14/TRIM28/TRIM38/TRIM5	39
BP	GO:0000086	G2/M transition of mitotic cell cycle	44/1819	247/18670	5.96941990608472e-05	0.0243650045952585	0.021437812655628	ARPP19/BACH1/BRCA1/BTRC/CALM3/CCNB2/CCNH/CDC25A/CDK4/CEP290/CEP57/CIT/CKAP5/CLASP1/CNTRL/CSNK1E/DCTN1/DTL/FBXL15/FBXO5/HAUS4/HSPA2/KHDRBS1/LATS1/MECP2/MELK/NAE1/NES/PAFAH1B1/PLK1/PPME1/PPP1R12A/PSMB8/PSMB9/PSMD11/PSMD4/PSME1/RAD51B/SKP2/TPX2/TUBA1A/TUBA4A/WEE1/YWHAE	44
BP	GO:0042552	myelination	28/1819	132/18670	6.04091023022937e-05	0.0243650045952585	0.021437812655628	ABCD1/AFG3L2/AKT1/ARHGEF10/CD9/CXCR4/DAG1/DLG1/EIF2B4/ERCC2/ID4/KLK6/KLK8/LPAR1/MTMR2/NDRG1/PLLP/PSAP/PTN/RARG/S100B/SLC25A12/SOX10/TGFB1/TLR2/TNFRSF1B/TNFRSF21/TSC1	28
BP	GO:0007052	mitotic spindle organization	24/1819	106/18670	6.72015651452845e-05	0.0254105918205607	0.0223577838776121	ARHGEF10/BIRC5/CDC20/CHMP2A/CLASP1/CLASP2/DCTN1/DRG1/EML1/GNAI1/GOLGA2/KIF2A/KIF3B/KIF4A/KIFC1/MAP9/MECP2/MSTO1/PLK1/PLK2/PSRC1/RAE1/STIL/TPX2	24
