V1	V2	R_mean	P_mean	V5
original_glszm_SizeZoneNonUniformityNormalized	HLA	0.422010891444817	2.11832713776624	least
original_glszm_SizeZoneNonUniformityNormalized	ANKHD1	0.431669315273757	1.94472061748306	least
original_glszm_SizeZoneNonUniformityNormalized	ARPC4	0.458733228578602	1.75216835797424	least
original_glszm_SizeZoneNonUniformityNormalized	BCL2L2	0.415282649190627	1.88428904439777	least
original_glszm_SizeZoneNonUniformityNormalized	LY75	0.423854613800717	1.69382652210372	least
original_glszm_SizeZoneNonUniformityNormalized	MSH5	0.413003352774984	1.53670335024722	least
original_glszm_SizeZoneNonUniformityNormalized	SENP3	0.425924233840406	1.56996031571658	least
original_glszm_SizeZoneNonUniformityNormalized	TNFSF12	0.405610047506677	1.50052126414515	least
original_glszm_SizeZoneNonUniformityNormalized	APOBEC3F	0.407288379308622	1.75733961166538	least
original_glszm_SizeZoneNonUniformityNormalized	HNRNPA1	0.389244929039483	1.65258459074144	least
original_glszm_SizeZoneNonUniformityNormalized	JUP	0.455543956359966	2.01294810438638	least
original_glszm_SizeZoneNonUniformityNormalized	NBPF10	0.431551596109895	1.78914487211128	least
original_glszm_SizeZoneNonUniformityNormalized	NBPF11	0.433391939323924	1.75502310773333	least
original_glszm_SizeZoneNonUniformityNormalized	NBPF14	0.432052478103812	1.78709159705372	least
original_glszm_SizeZoneNonUniformityNormalized	NBPF15	0.427349821969123	1.70821512647422	least
original_glszm_SizeZoneNonUniformityNormalized	NBPF26	0.450274748960717	1.84522399932838	least
original_glszm_SizeZoneNonUniformityNormalized	NDUFC2	0.433467700146255	1.60222882993761	least
original_glszm_SizeZoneNonUniformityNormalized	NPIPA5	0.412957963185802	1.67184196658246	least
original_glszm_SizeZoneNonUniformityNormalized	PDE10A	0.444766423535762	1.704031354652	least
original_glszm_SizeZoneNonUniformityNormalized	RPL17	0	0	most
original_glszm_SizeZoneNonUniformityNormalized	ST6GALNAC2	0.473457320407298	1.99337416753618	least
